hts_code,chip_category,avg_annual_taiwan_imports,avg_annual_total_imports,taiwan_import_share_pct,tsmc_revenue_share_pct,primary_us_end_use
8541,Discrete Semiconductors,882893338.3333334,22475456863.666668,3.9,,Consumer electronics / IoT
8542,Integrated Circuits,8883291916.0,38200974917.666664,23.3,43.0,Defense / HPC / Smartphones
8543,Specialized Electrical Machines,674067431.3333334,16798109517.0,4.0,,Industrial / Consumer
