program_name,contract_value_usd,exposure_score,naics_description,taiwan_dependency_pct
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,6878176115.46,1602615034.9021802,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",0.233
LAUREL TECHNOLOGIES PARTNERSHIP,982872471.06,229009285.75698,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",0.233
LOCKHEED MARTIN CORPORATION,29758994148.73,6933845636.65409,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",0.233
NORTHROP GRUMMAN SYSTEMS CORP,5301559863.46,530155986.346,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,0.1
NORTHROP GRUMMAN SYSTEMS CORPORATION,27430391759.19,4998610369.78134,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",0.161
RAYTHEON COMPANY,52153320406.35,10988046796.32848,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",0.1665
TEXTRON SYSTEMS CORPORATION,5590076080.72,1302487726.8077602,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",0.233
